title,original_price,sale_price,upper,ground,len_score,foot_score,weight(g),image_url,url,silo_x,brand,silo_y,silo_kor,position1,position2,position3,feature
아디다스 F50 리그 MG,109000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,221,https://www.crazy11.co.kr/shopimages/winv007/001005003218.jpg?1737612462,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809306&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aWZ3VQ%3D%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 MG ,109000,69000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,221,https://www.crazy11.co.kr/shopimages/winv007/001005003192.jpg?1733717908,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808401&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bml0W19C,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 리그 MID FGMG ,109000,71000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003225.jpg?1738567692,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809375&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bGZ3U1s%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 AG  ,319000,239000,합성가죽,인조잔디,3.0,3.0,158,https://www.crazy11.co.kr/shopimages/winv007/001005003210.jpg?1737013110,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809171&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bG13UF0%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 AG 2G3G  ,289000,219000,합성가죽,인조잔디,3.0,3.0,244,https://www.crazy11.co.kr/shopimages/winv007/001005003189.jpg?1733717907,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808369&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aGl3UlU%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 FG  ,319000,235000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,163,https://www.crazy11.co.kr/shopimages/winv007/001005003213.jpg?1737013063,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809189&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmp7W11H,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 FG 메시  ,299000,219000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,163,https://www.crazy11.co.kr/shopimages/winv007/001005003203.jpg?1733717903,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808577&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bm58W11A,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 FG 메시 LEO X BB  ,359000,359000,"인조가죽, 합성가죽",천연잔디,3.0,3.0,,https://www.crazy11.co.kr/shopimages/winv007/001005003205.jpg?1733717889,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808782&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=a2V%2FVw%3D%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 엘리트 LL FG  ,319000,239000,합성가죽,천연잔디,4.0,3.0,171,https://www.crazy11.co.kr/shopimages/winv007/001005003212.jpg?1737013079,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=809173&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bmx3UF4%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 클럽 FxG ,79000,51000,합성가죽,"천연잔디, 인조잔디, 맨땅",3.0,3.0,224,https://www.crazy11.co.kr/shopimages/winv007/001005003197.jpg?1733717909,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808413&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=aWZ3Ul0%3D,F50,adidas,F50,F50,FW, MF,,speed
아디다스 F50 프로 MG ,189000,123000,"인조가죽, 합성가죽","천연잔디, 인조잔디, 맨땅",3.0,3.0,234,https://www.crazy11.co.kr/shopimages/winv007/001005003207.jpg?1733717889,https://www.crazy11.co.kr/shop/shopdetail.html?branduid=808866&xcode=257&mcode=002&scode=001&type=Y&sort=order&cur_code=257&search=&GfDT=bGp3U1g%3D,F50,adidas,F50,F50,FW, MF,,speed
